name,discrete,valence
sample_00002721,neutral,-0.25
sample_00005854,angry,-2.5
sample_00003358,sad,-2.5
sample_00005933,happy,2.0
sample_00000613,angry,-1.75
sample_00001832,worried,-0.75
sample_00001178,angry,-4.25
sample_00002960,neutral,1.0
sample_00002571,surprise,4.25
sample_00006664,worried,-0.75
sample_00002730,worried,-1.5
sample_00006774,worried,-1.0
sample_00002785,happy,0.0
sample_00000509,neutral,-0.25
sample_00001110,happy,2.25
sample_00006433,worried,-1.25
sample_00002956,angry,-2.0
sample_00006957,angry,-2.5
sample_00002422,neutral,0.0
sample_00005637,worried,-1.5
sample_00004256,happy,2.0
sample_00004297,happy,2.0
sample_00000167,neutral,-0.25
sample_00001421,angry,-2.5
sample_00003605,angry,-1.0
sample_00006198,angry,-0.5
sample_00001468,angry,-2.5
sample_00002991,sad,-3.25
sample_00006729,neutral,0.75
sample_00000393,angry,-3.25
sample_00001152,happy,2.75
sample_00002353,neutral,0.0
sample_00003822,neutral,0.25
sample_00003367,angry,-2.0
sample_00004810,worried,0.0
sample_00006502,neutral,0.5
sample_00000070,sad,-1.25
sample_00001755,angry,-1.25
sample_00002504,happy,2.5
sample_00005769,worried,-0.5
sample_00005225,neutral,0.0
sample_00006042,happy,2.5
sample_00006009,happy,2.5
sample_00002676,happy,1.5
sample_00002021,happy,1.75
sample_00004242,happy,1.25
sample_00004025,angry,-4.5
sample_00001455,happy,1.25
sample_00002212,sad,-1.75
sample_00001097,surprise,0.0
sample_00006591,angry,-1.5
sample_00003100,neutral,-0.25
sample_00006114,worried,-2.5
sample_00003396,neutral,-0.5
sample_00006481,happy,3.25
sample_00004262,worried,0.75
sample_00004264,happy,2.75
sample_00005168,sad,-3.0
sample_00001189,surprise,1.0
sample_00001697,angry,-1.25
sample_00001956,neutral,0.0
sample_00000907,sad,-1.75
sample_00003239,worried,-0.75
sample_00001411,angry,-3.25
sample_00003774,happy,2.5
sample_00000370,happy,1.25
sample_00000833,neutral,0.0
sample_00007011,angry,-0.75
sample_00003163,neutral,-0.5
sample_00006709,angry,-2.25
sample_00002723,neutral,0.0
sample_00001453,happy,2.5
sample_00004446,angry,-3.75
sample_00004307,sad,-1.25
sample_00006941,sad,-1.25
sample_00002183,happy,1.75
sample_00003051,angry,-2.0
sample_00005219,worried,-2.0
sample_00006275,angry,-4.75
sample_00001863,neutral,0.0
sample_00002684,happy,1.25
sample_00000248,neutral,1.0
sample_00004053,happy,1.75
sample_00001039,angry,-2.75
sample_00000361,worried,-1.0
sample_00005079,happy,2.0
sample_00002298,angry,-4.0
